LogisticRegression
{'train': {'accuracy': 0.5829, 'accuracy_weighted': 0.4912, 'f1_score_macro': 0.439, 'f1_score_weighted': 0.5359}, 'val': {'accuracy': 0.5804, 'accuracy_weighted': 0.4868, 'f1_score_macro': 0.4244, 'f1_score_weighted': 0.5262}}
{'train': {'accuracy': 0.5749, 'accuracy_weighted': 0.4797, 'f1_score_macro': 0.4237, 'f1_score_weighted': 0.5227}, 'val': {'accuracy': 0.6066, 'accuracy_weighted': 0.5124, 'f1_score_macro': 0.4462, 'f1_score_weighted': 0.5559}}
{'train': {'accuracy': 0.584, 'accuracy_weighted': 0.4955, 'f1_score_macro': 0.4419, 'f1_score_weighted': 0.5379}, 'val': {'accuracy': 0.5804, 'accuracy_weighted': 0.4889, 'f1_score_macro': 0.4277, 'f1_score_weighted': 0.5319}}
{'train': {'accuracy': 0.5854, 'accuracy_weighted': 0.4893, 'f1_score_macro': 0.4349, 'f1_score_weighted': 0.5359}, 'val': {'accuracy': 0.5701, 'accuracy_weighted': 0.4881, 'f1_score_macro': 0.4277, 'f1_score_weighted': 0.5198}}
{'train': {'accuracy': 0.5789, 'accuracy_weighted': 0.486, 'f1_score_macro': 0.4269, 'f1_score_weighted': 0.5276}, 'val': {'accuracy': 0.5884, 'accuracy_weighted': 0.4998, 'f1_score_macro': 0.4466, 'f1_score_weighted': 0.5458}}
{'train': {'accuracy': 0.5823, 'accuracy_weighted': 0.4899, 'f1_score_macro': 0.4319, 'f1_score_weighted': 0.533}, 'val': {'accuracy': 0.5838, 'accuracy_weighted': 0.4937, 'f1_score_macro': 0.4558, 'f1_score_weighted': 0.539}}
{'train': {'accuracy': 0.5894, 'accuracy_weighted': 0.4936, 'f1_score_macro': 0.4402, 'f1_score_weighted': 0.54}, 'val': {'accuracy': 0.553, 'accuracy_weighted': 0.4653, 'f1_score_macro': 0.4161, 'f1_score_weighted': 0.5033}}
{'train': {'accuracy': 0.5789, 'accuracy_weighted': 0.4846, 'f1_score_macro': 0.4258, 'f1_score_weighted': 0.5274}, 'val': {'accuracy': 0.5895, 'accuracy_weighted': 0.5005, 'f1_score_macro': 0.4385, 'f1_score_weighted': 0.5407}}
{'train': {'accuracy': 0.5769, 'accuracy_weighted': 0.4793, 'f1_score_macro': 0.4277, 'f1_score_weighted': 0.5253}, 'val': {'accuracy': 0.5998, 'accuracy_weighted': 0.5132, 'f1_score_macro': 0.4545, 'f1_score_weighted': 0.5529}}
{'train': {'accuracy': 0.584, 'accuracy_weighted': 0.4884, 'f1_score_macro': 0.4333, 'f1_score_weighted': 0.5348}, 'val': {'accuracy': 0.5667, 'accuracy_weighted': 0.482, 'f1_score_macro': 0.4137, 'f1_score_weighted': 0.511}}

RandomForest
{'train': {'accuracy': 0.7452, 'accuracy_weighted': 0.6898, 'f1_score_macro': 0.6828, 'f1_score_weighted': 0.733}, 'val': {'accuracy': 0.5371, 'accuracy_weighted': 0.4697, 'f1_score_macro': 0.4165, 'f1_score_weighted': 0.505}}
{'train': {'accuracy': 0.7486, 'accuracy_weighted': 0.6893, 'f1_score_macro': 0.683, 'f1_score_weighted': 0.7345}, 'val': {'accuracy': 0.5257, 'accuracy_weighted': 0.4602, 'f1_score_macro': 0.3917, 'f1_score_weighted': 0.4897}}
{'train': {'accuracy': 0.7464, 'accuracy_weighted': 0.6803, 'f1_score_macro': 0.6832, 'f1_score_weighted': 0.7323}, 'val': {'accuracy': 0.5108, 'accuracy_weighted': 0.4544, 'f1_score_macro': 0.4036, 'f1_score_weighted': 0.4879}}
{'train': {'accuracy': 0.7486, 'accuracy_weighted': 0.6868, 'f1_score_macro': 0.688, 'f1_score_weighted': 0.7355}, 'val': {'accuracy': 0.52, 'accuracy_weighted': 0.4571, 'f1_score_macro': 0.4076, 'f1_score_weighted': 0.4945}}
{'train': {'accuracy': 0.7504, 'accuracy_weighted': 0.6973, 'f1_score_macro': 0.6925, 'f1_score_weighted': 0.7391}, 'val': {'accuracy': 0.5439, 'accuracy_weighted': 0.4806, 'f1_score_macro': 0.4287, 'f1_score_weighted': 0.5217}}
{'train': {'accuracy': 0.7432, 'accuracy_weighted': 0.6892, 'f1_score_macro': 0.6814, 'f1_score_weighted': 0.7311}, 'val': {'accuracy': 0.5576, 'accuracy_weighted': 0.4924, 'f1_score_macro': 0.4417, 'f1_score_weighted': 0.5332}}
{'train': {'accuracy': 0.7472, 'accuracy_weighted': 0.6873, 'f1_score_macro': 0.6853, 'f1_score_weighted': 0.7346}, 'val': {'accuracy': 0.5302, 'accuracy_weighted': 0.4678, 'f1_score_macro': 0.4272, 'f1_score_weighted': 0.5032}}
{'train': {'accuracy': 0.7512, 'accuracy_weighted': 0.6938, 'f1_score_macro': 0.6953, 'f1_score_weighted': 0.7399}, 'val': {'accuracy': 0.5131, 'accuracy_weighted': 0.4502, 'f1_score_macro': 0.3993, 'f1_score_weighted': 0.4854}}
{'train': {'accuracy': 0.7526, 'accuracy_weighted': 0.6974, 'f1_score_macro': 0.6926, 'f1_score_weighted': 0.7404}, 'val': {'accuracy': 0.5291, 'accuracy_weighted': 0.4604, 'f1_score_macro': 0.4096, 'f1_score_weighted': 0.5006}}
{'train': {'accuracy': 0.7435, 'accuracy_weighted': 0.6858, 'f1_score_macro': 0.6792, 'f1_score_weighted': 0.73}, 'val': {'accuracy': 0.5325, 'accuracy_weighted': 0.4837, 'f1_score_macro': 0.4175, 'f1_score_weighted': 0.5076}}

LightGBMClassification
{'train': {'accuracy': 0.6927, 'accuracy_weighted': 0.6198, 'f1_score_macro': 0.6135, 'f1_score_weighted': 0.6708}, 'val': {'accuracy': 0.553, 'accuracy_weighted': 0.4818, 'f1_score_macro': 0.4068, 'f1_score_weighted': 0.5156}}
{'train': {'accuracy': 0.6927, 'accuracy_weighted': 0.6226, 'f1_score_macro': 0.6107, 'f1_score_weighted': 0.6709}, 'val': {'accuracy': 0.5804, 'accuracy_weighted': 0.5103, 'f1_score_macro': 0.4679, 'f1_score_weighted': 0.5552}}
{'train': {'accuracy': 0.6919, 'accuracy_weighted': 0.6241, 'f1_score_macro': 0.6145, 'f1_score_weighted': 0.6718}, 'val': {'accuracy': 0.569, 'accuracy_weighted': 0.4944, 'f1_score_macro': 0.4362, 'f1_score_weighted': 0.535}}
{'train': {'accuracy': 0.6933, 'accuracy_weighted': 0.625, 'f1_score_macro': 0.6184, 'f1_score_weighted': 0.6743}, 'val': {'accuracy': 0.5439, 'accuracy_weighted': 0.4667, 'f1_score_macro': 0.4245, 'f1_score_weighted': 0.5104}}
{'train': {'accuracy': 0.6907, 'accuracy_weighted': 0.6234, 'f1_score_macro': 0.6176, 'f1_score_weighted': 0.6713}, 'val': {'accuracy': 0.5792, 'accuracy_weighted': 0.4905, 'f1_score_macro': 0.4478, 'f1_score_weighted': 0.5471}}
{'train': {'accuracy': 0.6973, 'accuracy_weighted': 0.631, 'f1_score_macro': 0.6259, 'f1_score_weighted': 0.68}, 'val': {'accuracy': 0.5348, 'accuracy_weighted': 0.4639, 'f1_score_macro': 0.4146, 'f1_score_weighted': 0.5023}}
{'train': {'accuracy': 0.6879, 'accuracy_weighted': 0.6207, 'f1_score_macro': 0.6117, 'f1_score_weighted': 0.6679}, 'val': {'accuracy': 0.569, 'accuracy_weighted': 0.4835, 'f1_score_macro': 0.4269, 'f1_score_weighted': 0.532}}
{'train': {'accuracy': 0.6984, 'accuracy_weighted': 0.6285, 'f1_score_macro': 0.6258, 'f1_score_weighted': 0.6801}, 'val': {'accuracy': 0.5507, 'accuracy_weighted': 0.4815, 'f1_score_macro': 0.4353, 'f1_score_weighted': 0.5211}}
{'train': {'accuracy': 0.6939, 'accuracy_weighted': 0.6256, 'f1_score_macro': 0.6111, 'f1_score_weighted': 0.6729}, 'val': {'accuracy': 0.5713, 'accuracy_weighted': 0.4964, 'f1_score_macro': 0.4582, 'f1_score_weighted': 0.5411}}
{'train': {'accuracy': 0.6939, 'accuracy_weighted': 0.6197, 'f1_score_macro': 0.613, 'f1_score_weighted': 0.6721}, 'val': {'accuracy': 0.5564, 'accuracy_weighted': 0.492, 'f1_score_macro': 0.4322, 'f1_score_weighted': 0.5232}}

LightGBMClassification
{'train': {'accuracy': 0.8448, 'accuracy_weighted': 0.8233, 'f1_score_macro': 0.8095, 'f1_score_weighted': 0.8428}, 'val': {'accuracy': 0.6864, 'accuracy_weighted': 0.6707, 'f1_score_macro': 0.5952, 'f1_score_weighted': 0.6876}}
{'train': {'accuracy': 0.8462, 'accuracy_weighted': 0.8283, 'f1_score_macro': 0.8088, 'f1_score_weighted': 0.8439}, 'val': {'accuracy': 0.6705, 'accuracy_weighted': 0.6345, 'f1_score_macro': 0.5769, 'f1_score_weighted': 0.6627}}
{'train': {'accuracy': 0.8525, 'accuracy_weighted': 0.8382, 'f1_score_macro': 0.8129, 'f1_score_weighted': 0.8502}, 'val': {'accuracy': 0.6465, 'accuracy_weighted': 0.6047, 'f1_score_macro': 0.5531, 'f1_score_weighted': 0.6331}}
{'train': {'accuracy': 0.8573, 'accuracy_weighted': 0.8336, 'f1_score_macro': 0.8184, 'f1_score_weighted': 0.8551}, 'val': {'accuracy': 0.6374, 'accuracy_weighted': 0.6255, 'f1_score_macro': 0.5472, 'f1_score_weighted': 0.6264}}
{'train': {'accuracy': 0.8502, 'accuracy_weighted': 0.8338, 'f1_score_macro': 0.8121, 'f1_score_weighted': 0.8469}, 'val': {'accuracy': 0.6784, 'accuracy_weighted': 0.6398, 'f1_score_macro': 0.566, 'f1_score_weighted': 0.6686}}
{'train': {'accuracy': 0.8471, 'accuracy_weighted': 0.8221, 'f1_score_macro': 0.8104, 'f1_score_weighted': 0.8446}, 'val': {'accuracy': 0.6796, 'accuracy_weighted': 0.6561, 'f1_score_macro': 0.5845, 'f1_score_weighted': 0.6761}}
